City,State
Lynchburg,Virginia
Cincinnati,Ohio
Kansas City,Kansas
Dayton,Ohio
Auburn,Washington
Louisville/Jefferson County metro government,Kentucky
Pittsburgh,Pennsylvania
Austin,Texas
Camarillo,California
Upland,California
High Point,North Carolina
New Bedford,Massachusetts
Columbus,Ohio
Shawnee,Kansas
Newport Beach,California
Sugar Land,Texas
Newton,Massachusetts
Livonia,Michigan
Appleton,Wisconsin
Lehigh Acres,Florida
Lakeland,Florida
North Charleston,South Carolina
Chattanooga,Tennessee
West Valley City,Utah
Johnson City,Tennessee
San Jose,California
Tucson,Arizona
Orem,Utah
Arlington Heights,Illinois
Cedar Rapids,Iowa
Brentwood,New York
Concord,California
Spring Hill,Florida
Carrollton,Texas
Sunrise Manor,Nevada
Lafayette,Indiana
Allen,Pennsylvania
Minneapolis,Minnesota
The Villages,Florida
Merced,California
Turlock,California
West Palm Beach,Florida
Trenton,New Jersey
Chandler,Arizona
Beaverton,Oregon
Yorba Linda,California
Laredo,Texas
Ogden,Utah
East Los Angeles,California
Bridgeport,Connecticut
Flower Mound,Texas
Charleston,South Carolina
Palo Alto,California
Denton,Texas
Rock Hill,South Carolina
Chino,California
Mesquite,Texas
Gastonia,North Carolina
Victorville,California
Arden-Arcade,California
Lafayette,Louisiana
Suffolk,Virginia
Las Cruces,New Mexico
Lorain,Ohio
San Angelo,Texas
Richardson,Texas
Garland,Texas
South Bend,Indiana
Allen,Texas
Corona,California
Glen Burnie,Maryland
Sunnyvale,California
Redwood City,California
Lawrence,Massachusetts
Alhambra,California
Carson,California
Cedar Park,Texas
Youngs,Ohio
Macon,Georgia
Kenner,Louisiana
Saint Charles,Missouri
Danbury,Connecticut
Everett,Washington
Fremont,California
Alexandria,Virginia
Springdale,Arkansas
Redlands,California
Albany,New York
Lynn,Massachusetts
El Cajon,California
Rialto,California
Detroit,Michigan
Vallejo,California
Fayetteville,North Carolina
Long Beach,California
Gaithersburg,Maryland
Mayagüez,Puerto Rico
Hoover,Alabama
Bloomington,Illinois
San Bernardino,California
Sandy,Utah
Guaynabo,Puerto Rico
Las Vegas,Nevada
Orlando,Florida
Pembroke Pines,Florida
Livermore,California
Tulsa,Oklahoma
Hartford,Connecticut
Newport News,Virginia
Union City,California
Sioux Falls,South Dakota
Irvine,California
Modesto,California
Nashua,New Hampshire
Lancaster,California
Greenville,North Carolina
Rochester Hills,Michigan
Frederick,Maryland
Flint,Michigan
Eugene,Oregon
Saint Joseph,Missouri
Frisco,Texas
Portland,Oregon
Evansville,Indiana
Ontario,California
Toms River,New Jersey
Mount Vernon,New York
Saint Paul,Minnesota
Wilmington,North Carolina
Spring Valley,Nevada
Akron,Ohio
New York,New York
Bolingbrook,Illinois
Corpus Christi,Texas
Augusta-Richmond County consolidated government,Georgia
Columbia,Maryland
Tuscaloosa,Alabama
Rochester,Minnesota
Casas Adobes,Arizona
Tempe,Arizona
New Haven,Connecticut
Marysville,Washington
Little Rock,Arkansas
Elk Grove,California
Coral Springs,Florida
Bayamón,Puerto Rico
Centreville,Virginia
Carolina,Puerto Rico
Santa Ana,California
Billings,Montana
Fullerton,California
Waterloo,Iowa
New Rochelle,New York
Albuquerque,New Mexico
Alameda,California
Fort Lauderdale,Florida
Framingham,Massachusetts
Pittsburg,California
Dearborn,Michigan
Elgin,Illinois
Moreno Valley,California
Kirkland,Washington
Jurupa Valley,California
North Las Vegas,Nevada
Syracuse,New York
Longmont,Colorado
Cary,North Carolina
Waco,Texas
Grand Prairie,Texas
Pueblo,Colorado
Edmond,Oklahoma
Yuba City,California
Lakewood,Colorado
Saint George,Utah
Saint Cloud,Minnesota
Cranston,Rhode Island
Reno,Nevada
Missoula,Montana
Somerville,Massachusetts
Gainesville,Florida
Warwick,Rhode Island
Berkeley,California
Bethlehem,Pennsylvania
Metairie,Louisiana
Spokane,Washington
Milpitas,California
Santa Fe,New Mexico
Raleigh,North Carolina
Poinciana,Florida
Wichita,Kansas
Highlands Ranch,Colorado
Mountain View,California
Hesperia,California
Albany,Georgia
Fort Wayne,Indiana
Woodbury,Minnesota
Hialeah,Florida
Yuma,Arizona
Durham,North Carolina
Downey,California
South Gate,California
Peoria,Illinois
Saint Petersburg,Florida
Birmingham,Alabama
Redding,California
Ames,Iowa
Santa Rosa,California
Bloomington,Indiana
McAllen,Texas
Murfreesboro,Tennessee
Bossier City,Louisiana
Fayetteville,Arkansas
Lake Charles,Louisiana
Eagan,Minnesota
Palm Bay,Florida
Loveland,Colorado
Dallas,Texas
Apple Valley,California
Peoria,Arizona
Portland,Maine
Garden Grove,California
Scottsdale,Arizona
South San Francisco,California
Mission Viejo,California
Midland,Texas
Cicero,Illinois
Walnut Creek,California
Citrus Heights,California
Rapid City,South Dakota
Erie,Pennsylvania
Greensboro,North Carolina
Chino Hills,California
McKinney,Texas
College Station,Texas
North Richland Hills,Texas
New Britain,Connecticut
Charlotte,North Carolina
Iowa City,Iowa
Roanoke,Virginia
Warner Robins,Georgia
Torrance,California
Passaic,New Jersey
Palmdale,California
Carlsbad,California
Farmington Hills,Michigan
Chesapeake,Virginia
East Orange,New Jersey
Huntsville,Alabama
Champaign,Illinois
Goodyear,Arizona
Schenectady,New York
Hillsboro,Oregon
Waldorf,Maryland
Round Rock,Texas
Laguna Niguel,California
Union City,New Jersey
Irving,Texas
Clarksville,Tennessee
Vancouver,Washington
Carmichael,California
Jacksonville,North Carolina
Oceanside,California
Harlingen,Texas
Beaumont,Texas
Boynton Beach,Florida
Chicago,Illinois
Lubbock,Texas
Yakima,Washington
Aurora,Colorado
Avondale,Arizona
Tallahassee,Florida
Decatur,Illinois
Edinburg,Texas
Plano,Texas
Fargo,North Dakota
Madison,Wisconsin
West Covina,California
Alafaya,Florida
Providence,Rhode Island
Missouri City,Texas
Sacramento,California
Yonkers,New York
Miami Beach,Florida
Manchester,New Hampshire
Richmond,Virginia
Mesa,Arizona
Jonesboro,Arkansas
Elizabeth,New Jersey
Stamford,Connecticut
Brockton,Massachusetts
Cleveland,Ohio
Omaha,Nebraska
Pompano Beach,Florida
Lauderhill,Florida
Oakland,California
Lexington-Fayette  county,Kentucky
Layton,Utah
Racine,Wisconsin
San Juan,Puerto Rico
Orange,California
Indianapolis,Indiana
San Ramon,California
Baton Rouge,Louisiana
Cheektowaga,New York
Odessa,Texas
Scranton,Pennsylvania
Des Moines,Iowa
Pasco,Washington
Kennewick,Washington
Temple,Texas
Chula Vista,California
Springfield,Illinois
Lowell,Massachusetts
Simi Valley,California
Salt Lake City,Utah
Springfield,Massachusetts
Reading,Pennsylvania
Brooklyn Park,Minnesota
Camden,New Jersey
Lawton,Oklahoma
Sioux City,Iowa
Lake Forest,California
Ellicott City,Maryland
Medford,Oregon
Palatine,Illinois
Napa,California
Bend,Oregon
Henderson,Nevada
Hayward,California
Fresno,California
Vista,California
Shreveport,Louisiana
Grand Rapids,Michigan
Tracy,California
Lakewood,California
Bismarck,North Dakota
Parma,Ohio
Los Angeles,California
Deltona,Florida
Norfolk,Virginia
Columbia,Missouri
Nampa,Idaho
Conroe,Texas
Santa Clara,California
Troy,Michigan
Tustin,California
Enterprise,Nevada
Springfield,Missouri
Carmel,Indiana
Philadelphia,Pennsylvania
Tampa,Florida
Spokane Valley,Washington
Pasadena,Texas
Lansing,Michigan
Buffalo,New York
Fishers,Indiana
Delray Beach,Florida
Perris,California
Canton,Ohio
Winston-Salem,North Carolina
Washington,District of Columbia
Ann Arbor,Michigan
San Antonio,Texas
Fort Worth,Texas
Waukegan,Illinois
Thousand Oaks,California
Inglewood,California
Compton,California
Pawtucket,Rhode Island
Miami Gardens,Florida
Davie,Florida
Fall River,Massachusetts
Santa Monica,California
Boston,Massachusetts
Broomfield,Colorado
Provo,Utah
San Marcos,California
Largo,Florida
Bellflower,California
Melbourne,Florida
The Woodlands,Texas
South Jordan,Utah
Murrieta,California
Pomona,California
New Orleans,Louisiana
Plymouth,Minnesota
Seattle,Washington
Jacksonville,Florida
San Francisco,California
Hampton,Virginia
Montgomery,Alabama
San Leandro,California
San Diego,California
Jackson,Mississippi
Oshkosh,Wisconsin
Mobile,Alabama
Houston,Texas
Duluth,Minnesota
Portsmouth,Virginia
Lewisville,Texas
Rancho Cucamonga,California
Norwalk,California
Kent,Washington
Deerfield Beach,Florida
Ponce,Puerto Rico
Fairfield,California
Indio,California
Joliet,Illinois
Victoria,Texas
Norman,Oklahoma
Arlington,Texas
Aurora,Illinois
San Mateo,California
Brandon,Florida
Buena Park,California
League City,Texas
Weston,Florida
Clearwater,Florida
Pleasanton,California
Jackson,Tennessee
Schaumburg,Illinois
Naperville,Illinois
Sparks,Nevada
Phoenix,Arizona
Knoxville,Tennessee
Muncie,Indiana
Toledo,Ohio
Visalia,California
Riverview,Florida
Boca Raton,Florida
Fort Smith,Arkansas
Atascocita,Texas
Lee's Summit,Missouri
El Monte,California
Green Bay,Wisconsin
New Braunfels,Texas
Milwaukee,Wisconsin
Columbus,Georgia
Surprise,Arizona
San Tan Valley,Arizona
Virginia Beach,Virginia
Sterling Heights,Michigan
Arvada,Colorado
Hemet,California
Pharr,Texas
Urban Honolulu,Hawaii
Evanston,Illinois
Paradise,Nevada
Thornton,Colorado
Miramar,Florida
Anchorage,Alaska
Rockford,Illinois
Homestead,Florida
Broken Arrow,Oklahoma
Bakersfield,California
Maple Grove,Minnesota
Rockville,Maryland
Bellingham,Washington
Rio Rancho,New Mexico
Lincoln,Nebraska
Oxnard,California
Gresham,Oregon
Bryan,Texas
German,Maryland
Fort Collins,Colorado
Richmond,California
Kendall,Florida
Eau Claire,Wisconsin
Savannah,Georgia
Concord,North Carolina
Arlington,Virginia
Silver Spring,Maryland
Kissimmee,Florida
Santa Clarita,California
Salem,Oregon
Fontana,California
Longview,Texas
Glendale,Arizona
Clovis,California
Costa Mesa,California
Lawrence,Kansas
Brownsville,Texas
Florence-Graham,California
Centennial,Colorado
Southfield,Michigan
Cambridge,Massachusetts
Port Saint Lucie,Florida
Huntington Beach,California
Kenosha,Wisconsin
Gilbert,Arizona
Westminster,Colorado
Escondido,California
Bk,California
Sandy Springs,Georgia
Pearland,Texas
Hammond,Indiana
El Paso,Texas
Meridian,Idaho
Olathe,Kansas
Boise,Idaho
Norwalk,Connecticut
Columbia,South Carolina
Quincy,Massachusetts
Nashville,Tennessee
Tyler,Texas
Bay,Texas
Rancho Cordova,California
San Buenaventura,California
Manteca,California
Franklin,Tennessee
Hawthorne,California
Chico,California
Santa Maria,California
Gary,Indiana
West Jordan,Utah
Menifee,California
Sunrise,Florida
Anaheim,California
Memphis,Tennessee
San Clemente,California
Bloomington,Minnesota
Daly City,California
Warren,Michigan
Topeka,Kansas
Davenport,Iowa
Whittier,California
Greeley,Colorado
Dothan,Alabama
Vacaville,California
Baldwin Park,California
Roswell,Georgia
Salinas,California
Waterbury,Connecticut
Bayonne,New Jersey
Jersey City,New Jersey
Paterson,New Jersey
Miami,Florida
Johns Creek,Georgia
Gulfport,Mississippi
Stockton,California
Newark,New Jersey
Baltimore,Maryland
Wilmington,Delaware
Mission,Texas
Oklahoma City,Oklahoma
Town 'n' Country,Florida
Wichita Falls,Texas
Antioch,California
Temecula,California
Worcester,Massachusetts
Boulder,Colorado
Independence,Missouri
Westland,Michigan
Mount Pleasant,South Carolina
Pine Hills,Florida
Caguas,Puerto Rico
Pasadena,California
North Little Rock,Arkansas
Flagstaff,Arizona
Hollywood,Florida
Abilene,Texas
Santa Barbara,California
Plantation,Florida
Riverside,California
Rochester,New York
Waukesha,Wisconsin
Overland Park,Kansas
Asheville,North Carolina
Folsom,California
Atlanta,Georgia
Westminster,California
Kansas City,Missouri
Redondo Beach,California
O'Fallon,Missouri
Killeen,Texas
Palm Coast,Florida
Saint Louis,Missouri
Fort Myers,Florida
Lynwood,California
Glendale,California
Cape Coral,Florida
Wyoming,Michigan
Denver,Colorado
Renton,Washington
Roseville,California
Athens-Clarke County unified government,Georgia
Amarillo,Texas
Tacoma,Washington
Federal Way,Washington
Dale City,Virginia
Skokie,Illinois
Colorado Springs,Colorado
Kalamazoo,Michigan
Clifton,New Jersey
Davis,California
Bellevue,Washington
